Mouser Part Number,DigiKey Part Number,Description,Quantity 1,Customer Part #,Notes
806-KLDX-0202-A,,"DC Power Jack, 2mm",1,J1,
490-RCJ-014,,"RCA Phono connector, Yellow",1,J2,
490-RCJ-013,,"RCA Phono connector, White",1,J2,
490-MD-40SM,,"Mini DIN 4-pos, Right Angle, PCB mount",1,J4,
490-SDF-80J,,"DIN 8-pos, Right Angle, PCB mount",2,"J5, J6",
523-L717SDE09P1ACH3R,,"Sub-D DE9M, Right Angle, PCB mount",2,"J7, J8",
636-112-014-213R001,,"Micro Ribbon 14-pos, Female, Right Angle, PCB mount",1,J9,
571-6404568,,8 pin friction lock connector,1,J10,
710-61201621621,,"2x8 pin header, shrouded",1,J11,
517-929852-01-20-RB,,2x20 pin socket,1,J12,
710-61300421121,,2x2 pin header,1,J13,
710-61301311121,,1x13 pin header,0,J14,
571-5530843-5,,50 pin card edge connector,2,"SLOT1, SLOT2",
571-5532600-2,,50 pin card edge connector,1,"SLOT2",alt for SLOT2
710-61300311121,,2 pin header,2,"JP1, JP2",original 649-78229-102HLF
,,Wire link,0,JP3 - JP6,wire link
710-61300621121,,2x3 pin header,,"JP7, JP8",2x3 pin header
122-2420-GR,,CR2032 Battery holder,1,BT1,
517-4840-6000-CP,,40 pin DIP,3,"U1, U2, U4",
,117-87-764-41-005101,64 pin DIP,1,U3,"70 mil pitch, 750 mil spacing"
517-4832-6000-CP,,32 pin DIP,2,"U6, U7",
,110-93-424-41-001000,"24 pin DIP, 400 mil spacing",1,U47,"100 mil pitch, 400 mil spacing"
517-4820-3000-CP,,20 pin DIP,11,"U12 - U14, U19 - U26",
517-4818-3000-CP,,18 pin DIP,5,"U5, U8 - U11",
517-4816-3000-CP,,16 pin DIP,11,"U15 - U18, U27 - U32, U46",
517-4814-3000-CP,,14 pin DIP,13,U33 - U45,
517-4808-3000-CP,,8 pin DIP,2,"U48, U49",
710-61201623021,,2x8 pin header,2,
710-63911655721CAB,,16 ribbon cable,1,
